Price,Close,High,Low,Open,Volume
Ticker,^DJT,^DJT,^DJT,^DJT,^DJT
Date,,,,,
2012-04-04,5276.509765625,5297.2001953125,5245.14990234375,5292.18017578125,17430000
2012-04-05,5284.330078125,5295.8798828125,5253.16015625,5275.9501953125,10900000
2012-04-09,5196.990234375,5279.81005859375,5179.33984375,5279.81005859375,11990000
2012-04-10,5088.1298828125,5196.02978515625,5075.68994140625,5195.919921875,15730000
2012-04-11,5134.39990234375,5161.35986328125,5091.240234375,5091.240234375,12180000
2012-04-12,5248.2001953125,5261.52001953125,5133.16015625,5133.43994140625,13830000
2012-04-13,5197.0400390625,5246.6201171875,5195.5498046875,5246.6201171875,13480000
2012-04-16,5234.64990234375,5268.2998046875,5191.7900390625,5197.43994140625,12710000
2012-04-17,5310.1298828125,5329.35986328125,5234.8701171875,5234.8701171875,14010000
2012-04-18,5303.60986328125,5330.33984375,5280.0400390625,5307.990234375,15110000
2012-04-19,5228.72021484375,5320.41015625,5195.06982421875,5304.22998046875,20510000
2012-04-20,5234.25,5255.3701171875,5206.919921875,5225.27001953125,22100000
2012-04-23,5185.81005859375,5231.259765625,5129.009765625,5231.259765625,15070000
2012-04-24,5246.72998046875,5249.75,5185.97998046875,5185.97998046875,12580000
2012-04-25,5291.22021484375,5306.009765625,5238.43017578125,5248.93017578125,15670000
2012-04-26,5235.31982421875,5291.39013671875,5196.27978515625,5291.22021484375,15860000
2012-04-27,5267.39013671875,5278.2900390625,5215.509765625,5237.580078125,13160000
2012-04-30,5230.240234375,5274.89990234375,5217.27978515625,5267.5,14930000
2012-05-01,5285.97021484375,5323.1201171875,5212.85009765625,5230.06982421875,13070000
2012-05-02,5334.52001953125,5346.580078125,5239.16015625,5280.66015625,13080000
2012-05-03,5284.330078125,5361.06005859375,5280.91015625,5335.43017578125,13060000
2012-05-04,5227.64013671875,5284.330078125,5215.85009765625,5284.330078125,13920000
2012-05-07,5245.259765625,5269.33984375,5198.0,5226.2900390625,12480000
2012-05-08,5234.18994140625,5242.830078125,5165.47998046875,5242.830078125,14130000
2012-05-09,5159.330078125,5233.18017578125,5147.18994140625,5233.18017578125,15580000
2012-05-10,5133.81005859375,5208.89990234375,5121.16015625,5157.81005859375,11050000
2012-05-11,5140.7001953125,5182.7900390625,5109.81982421875,5132.6201171875,11170000
2012-05-14,5100.330078125,5140.080078125,5077.6298828125,5140.080078125,13040000
2012-05-15,5106.990234375,5149.33984375,5088.8701171875,5101.740234375,11870000
2012-05-16,5100.56005859375,5176.2099609375,5100.56005859375,5107.39013671875,12470000
2012-05-17,4938.18017578125,5114.43994140625,4935.06982421875,5098.2998046875,19370000
2012-05-18,4873.759765625,4974.31005859375,4864.56005859375,4939.419921875,22370000
2012-05-21,5003.10986328125,5004.93994140625,4874.490234375,4874.490234375,12720000
2012-05-22,5007.9599609375,5059.93017578125,4977.9599609375,5003.669921875,15430000
2012-05-23,5067.25,5081.97998046875,4928.2998046875,5007.7900390625,13610000
2012-05-24,5108.39990234375,5133.080078125,5056.240234375,5068.490234375,15170000
2012-05-25,5079.83984375,5111.85009765625,5064.33984375,5108.91015625,11750000
2012-05-29,5138.60986328125,5159.83984375,5077.06982421875,5077.06982421875,12310000
2012-05-30,5029.64013671875,5132.740234375,5020.0498046875,5132.740234375,14040000
2012-05-31,5074.7001953125,5107.47021484375,4978.5498046875,5029.25,26080000
2012-06-01,4911.8701171875,5070.240234375,4898.68994140625,5070.18017578125,19910000
2012-06-04,4847.72998046875,4921.919921875,4795.27978515625,4914.52001953125,19200000
2012-06-05,4868.68017578125,4895.1298828125,4824.47021484375,4847.56005859375,12110000
2012-06-06,5015.52978515625,5015.52978515625,4871.5,4871.5,12850000
2012-06-07,5008.919921875,5118.91015625,5000.06005859375,5017.58984375,14860000
2012-06-08,5062.0498046875,5066.33984375,4969.97021484375,5009.259765625,14730000
2012-06-11,4991.93017578125,5106.77001953125,4985.41015625,5065.10009765625,13170000
2012-06-12,5035.06005859375,5043.4501953125,4976.68994140625,4992.89013671875,14790000
2012-06-13,5006.5,5067.41015625,4984.6201171875,5032.75,13180000
2012-06-14,5057.2001953125,5082.830078125,4985.0400390625,5005.47998046875,12250000
2012-06-15,5091.240234375,5096.31982421875,5057.759765625,5057.990234375,22970000
